,TAVG,AQI
85,0.9510704754265186,80
172,0.0790433907190939,38
119,0.9051743130734963,77
27,-0.639996486144923,47
62,0.30852420248420565,44
40,0.7062909428770661,61
197,-1.5120235708523477,30
217,-0.2881259081050849,36
162,0.6297973389553622,36
164,-0.3034246288894257,47
73,0.2932254816998649,50
114,1.6854090730748763,84
150,-0.37991823281112963,33
151,-0.211632304183381,40
93,1.6701103522905354,44
154,0.4462126895432727,67
59,-0.5482041614388783,31
69,-0.08924253790865472,42
108,1.486525702878446,47
130,1.3794346573880605,129
118,0.8133819883674516,42
201,-1.7415043826174594,28
14,-1.4049325253619622,35
199,-0.5176067198701967,45
148,0.5839011766023398,34
56,-0.563502882223219,32
187,-0.5329054406545375,22
55,-0.5482041614388783,30
90,0.9357717546421778,46
53,-1.1907504343811912,30
107,1.501824423662787,97
152,0.06374466993475313,74
145,0.6909922220927253,54
99,0.9051743130734963,42
42,0.3697190856215688,50
17,-2.0168813567355937,31
5,-2.628830188109225,9
160,0.5533037350336583,31
89,1.0122653585638817,47
48,0.10964083228777548,33
213,-1.848595428107845,31
66,0.5991998973866806,64
70,-0.3187233496737665,44
210,-0.6705939277136045,34
147,0.5533037350336583,35
54,-0.639996486144923,43
106,1.6548116315061947,74
174,0.2779267609155241,31
163,-0.08924253790865472,44
102,0.5380050142493175,44
182,0.21673187777816097,19
94,1.4559282613097644,46
198,-0.6705939277136045,50
12,-2.2310634477163647,7
143,0.5839011766023398,44
117,0.8439794299361331,61
138,0.9357717546421778,27
190,-0.24222974575206255,29
169,0.21673187777816097,61
205,-1.5120235708523477,31
81,0.32382292326854645,44
180,-0.44111311594849273,29
196,-1.3284389214402583,21
13,-1.2213478759498728,7
193,-0.2575284665364033,38
82,-0.012748933986950798,35
200,-0.5023079990858559,31
194,-0.8694772979100347,39
45,-1.3284389214402583,24
123,0.996966637779541,61
103,0.7674858260144292,44
36,-0.44111311594849273,45
176,0.33912164405288725,54
202,-2.0015826359512525,28
168,0.033147228366071556,51
127,1.0887589624855856,71
124,0.78278454679877,46
215,-1.7109069410487778,37
212,-1.0989581096751464,37
189,-0.3340220704581073,29
75,0.7521871052300884,64
21,-1.2519453175185544,40
91,0.9051743130734963,46
167,-0.6705939277136045,37
2,-1.6191146163427332,2
165,0.12493955307211625,40
6,-1.8026992657548226,13
183,0.24732931934684252,16
170,0.23203059856250174,40
77,0.7674858260144292,36
113,1.4712269820941053,67
65,0.6909922220927253,84
46,-0.991867064184761,22
74,0.7674858260144292,44
92,1.134655124838608,87
158,1.134655124838608,42
87,0.4462126895432727,49
173,0.354420364837228,31
10,-0.7317888108509677,13
32,-0.7470875316353084,46
136,0.9051743130734963,29
83,0.04844594915041234,48
171,0.24732931934684252,44
100,1.2570448911133343,44
125,0.7062909428770661,44
23,-0.211632304183381,45
126,0.8133819883674516,90
9,-1.068360668106465,3
186,-0.45641183673283353,19
104,1.0581615209169042,67
153,0.15553699464079782,77
166,-0.02804765477129158,25
135,1.4406295405254237,51
111,0.8286807091517924,45
207,-1.0836593888908057,61
64,0.5380050142493175,93
15,-1.6038158955583923,36
41,0.6909922220927253,58
179,-0.16573614183035865,28
109,1.5324218652314685,33
80,0.5991998973866806,44
52,-1.206049155165532,36
26,-0.7929836939883308,44
76,0.5227062934649767,33
43,0.5074075726806359,67
24,-0.18103486261469942,35
3,-1.6497120579114146,21
185,-0.1963335833990402,19
49,0.4768101311119543,42
149,0.12493955307211625,35
131,1.700707793859217,54
206,-1.3896338045776213,44
30,-0.6093990445762414,32
121,0.9051743130734963,80
175,0.5227062934649767,46
115,1.8536950017026248,87
191,-0.18103486261469942,44
8,-2.5982327465405435,7
60,-0.3034246288894257,33
128,0.78278454679877,36
1,-2.3687519347754318,3
57,-0.3187233496737665,38
22,-0.7470875316353084,48
61,0.04844594915041234,42
63,0.5380050142493175,47
7,-2.0627775190886157,6
214,-2.0933749606572976,33
141,0.4462126895432727,44
86,0.6297973389553622,46
96,1.4406295405254237,71
68,0.23203059856250174,47
50,-0.043346375555632366,41
142,0.5074075726806359,39
157,1.272343611897675,84
156,0.7368883844457477,93
139,1.0428628001325633,51
146,0.6756935013083845,37
101,0.49210885189629505,32
20,-1.3743350837932806,41
178,0.09434211150343469,35
25,-0.3952169535954704,42
134,1.1499538456229488,61
71,-0.211632304183381,45
204,-1.5732184539897107,32
129,1.1499538456229488,71
144,0.6909922220927253,43
192,-0.6858926484979453,46
79,0.3850178064059096,45
133,0.7521871052300884,39
203,-1.909790311245208,31
137,0.6756935013083845,21
72,0.04844594915041234,61
140,0.7215896636614069,41
37,-1.053061947322124,33
